Datum,<15,15-24,25-34,35-44,45-54,55-64,65-74,75-84,>84
2021-12-14T23:59:59+01:00,53557,164969,246580,222645,215417,203790,133992,109140,34493
2021-12-13T23:59:59+01:00,53219,164730,246318,222476,215282,203654,133885,109075,34468
2021-12-12T23:59:59+01:00,52917,164458,246047,222250,215125,203514,133771,109035,34440
2021-12-11T23:59:59+01:00,52565,164345,245913,222154,215079,203479,133751,109024,34439
2021-12-10T23:59:59+01:00,51703,164011,245546,221851,214832,203299,133602,108967,34427
2021-12-09T23:59:59+01:00,50743,163701,245207,221558,214623,203130,133494,108896,34403
2021-12-08T23:59:59+01:00,50237,163478,244991,221336,214457,202984,133385,108830,34374
2021-12-07T23:59:59+01:00,49521,163317,244836,221226,214389,202925,133349,108809,34360
2021-12-06T23:59:59+01:00,48802,163112,244533,220985,214189,202785,133217,108755,34324
2021-12-05T23:59:59+01:00,48293,162826,244131,220651,213925,202542,133037,108671,34286
2021-12-04T23:59:59+01:00,47265,162757,244042,220570,213890,202503,133015,108664,34281
2021-12-03T23:59:59+01:00,45953,162579,243867,220416,213787,202425,132968,108643,34273
2021-12-02T23:59:59+01:00,44505,162271,243537,220149,213540,202210,132842,108552,34242
2021-12-01T23:59:59+01:00,43399,162057,243224,219902,213354,202034,132688,108476,34218
2021-11-30T23:59:59+01:00,42321,161670,242667,219460,213001,201701,132434,108350,34164
2021-11-29T23:59:59+01:00,41250,161453,242359,219189,212825,201542,132304,108283,34114
2021-11-28T23:59:59+01:00,40207,161214,242041,218965,212613,201386,132200,108229,34098
2021-11-27T23:59:59+01:00,38936,161106,241895,218856,212527,201326,132172,108220,34096
2021-11-26T23:59:59+01:00,37451,160849,241600,218621,212326,201197,132104,108195,34087
2021-11-25T23:59:59+01:00,35779,160409,241028,218101,211898,200851,131861,108083,34052
2021-11-24T23:59:59+01:00,34633,160114,240688,217793,211618,200641,131699,107985,34024
2021-11-23T23:59:59+01:00,33302,159792,240320,217448,211350,200402,131542,107901,33987
2021-11-22T23:59:59+01:00,32203,159450,239944,217101,211080,200180,131393,107831,33956
2021-11-21T23:59:59+01:00,31246,159042,239463,216727,210803,199975,131261,107778,33933
2021-11-20T23:59:59+01:00,30817,158766,239153,216448,210614,199845,131220,107755,33926
2021-11-19T23:59:59+01:00,30186,158232,238592,215972,210258,199607,131146,107723,33916
2021-11-18T23:59:59+01:00,29415,157518,237849,215332,209788,199303,130993,107654,33883
2021-11-17T23:59:59+01:00,28944,156920,237135,214778,209368,199035,130846,107588,33852
2021-11-16T23:59:59+01:00,28490,156148,236289,214104,208895,198732,130700,107519,33828
2021-11-15T23:59:59+01:00,28014,155235,235300,213352,208396,198420,130565,107446,33805
2021-11-14T23:59:59+01:00,27272,154315,234301,212628,207855,198098,130415,107396,33788
2021-11-13T23:59:59+01:00,27005,153664,233707,212137,207540,197932,130372,107384,33786
2021-11-12T23:59:59+01:00,26639,152903,233074,211580,207113,197679,130312,107358,33785
2021-11-11T23:59:59+01:00,26197,151943,232133,210781,206600,197362,130144,107282,33760
2021-11-10T23:59:59+01:00,25955,151236,231423,210229,206203,197101,130023,107219,33739
2021-11-09T23:59:59+01:00,25727,150391,230598,209674,205754,196816,129921,107161,33723
2021-11-08T23:59:59+01:00,25505,149512,229769,209055,205323,196558,129790,107102,33701
2021-11-07T23:59:59+01:00,25295,148763,228945,208415,204899,196291,129675,107041,33686
2021-11-06T23:59:59+01:00,25133,148260,228407,207995,204599,196146,129637,107020,33685
2021-11-05T23:59:59+01:00,24905,147744,227840,207515,204226,195939,129589,106998,33681
2021-11-04T23:59:59+01:00,24686,147289,227292,207069,203863,195727,129505,106962,33670
2021-11-03T23:59:59+01:00,24556,146965,226841,206748,203613,195558,129443,106929,33656
2021-11-02T23:59:59+01:00,24476,146612,226365,206397,203345,195378,129382,106904,33638
2021-11-01T23:59:59+01:00,24310,146212,225916,205992,203048,195235,129322,106872,33628
2021-10-31T23:59:59+01:00,24247,145975,225637,205715,202875,195148,129300,106863,33627
2021-10-30T23:59:59+02:00,24195,145777,225344,205490,202666,195056,129271,106853,33623
2021-10-29T23:59:59+02:00,24116,145454,224904,205111,202406,194916,129247,106839,33619
2021-10-28T23:59:59+02:00,23966,145045,224332,204693,202076,194722,129192,106814,33612
2021-10-27T23:59:59+02:00,23851,144707,223920,204368,201829,194571,129118,106769,33605
2021-10-26T23:59:59+02:00,23691,144264,223486,204038,201584,194431,129057,106740,33596
2021-10-25T23:59:59+02:00,23625,144036,223248,203855,201424,194359,129038,106730,33591
2021-10-24T23:59:59+02:00,23489,143675,222802,203502,201131,194198,128968,106711,33587
2021-10-23T23:59:59+02:00,23437,143488,222570,203323,201021,194130,128940,106709,33586
2021-10-22T23:59:59+02:00,23320,143184,222187,203038,200803,194019,128911,106699,33584
2021-10-21T23:59:59+02:00,23060,142813,221781,202681,200516,193865,128854,106660,33565
2021-10-20T23:59:59+02:00,22962,142552,221495,202465,200338,193745,128789,106629,33543
2021-10-19T23:59:59+02:00,22767,142266,221225,202282,200202,193632,128729,106603,33523
2021-10-18T23:59:59+02:00,22678,142036,220969,202087,200083,193525,128670,106562,33504
2021-10-17T23:59:59+02:00,22591,141743,220721,201900,199971,193426,128625,106541,33497
2021-10-16T23:59:59+02:00,22551,141634,220616,201846,199909,193397,128621,106538,33495
2021-10-15T23:59:59+02:00,22456,141433,220410,201695,199796,193334,128612,106532,33494
2021-10-14T23:59:59+02:00,22252,141063,220113,201484,199615,193219,128556,106498,33483
2021-10-13T23:59:59+02:00,22086,140804,219880,201291,199440,193108,128475,106453,33462
2021-10-12T23:59:59+02:00,21835,140483,219658,201099,199320,193021,128425,106428,33451
2021-10-11T23:59:59+02:00,21702,140214,219427,200931,199180,192926,128367,106388,33434
2021-10-10T23:59:59+02:00,21579,139935,219147,200742,199034,192837,128328,106372,33423
2021-10-09T23:59:59+02:00,21535,139783,219034,200658,198963,192802,128313,106370,33423
2021-10-08T23:59:59+02:00,21406,139542,218784,200490,198843,192704,128285,106364,33422
2021-10-07T23:59:59+02:00,21247,139150,218415,200208,198630,192558,128224,106330,33405
2021-10-06T23:59:59+02:00,21118,138822,218133,200003,198476,192460,128146,106299,33388
2021-10-05T23:59:59+02:00,20925,138503,217829,199755,198329,192363,128099,106254,33370
2021-10-04T23:59:59+02:00,20857,138149,217507,199535,198146,192249,128013,106210,33347
2021-10-03T23:59:59+02:00,20737,137749,217173,199293,197957,192131,127947,106177,33343
2021-10-02T23:59:59+02:00,20685,137547,217013,199165,197853,192082,127918,106176,33340
2021-10-01T23:59:59+02:00,20495,137214,216671,198918,197699,191980,127880,106161,33336
2021-09-30T23:59:59+02:00,20342,136747,216202,198531,197410,191780,127795,106111,33317
2021-09-29T23:59:59+02:00,20202,136351,215799,198208,197169,191623,127694,106059,33293
2021-09-28T23:59:59+02:00,20039,135948,215422,197902,196944,191459,127615,106009,33259
2021-09-27T23:59:59+02:00,19777,135451,215034,197610,196741,191309,127538,105963,33242
2021-09-26T23:59:59+02:00,19562,134967,214610,197293,196487,191141,127463,105924,33224
2021-09-25T23:59:59+02:00,19482,134726,214415,197156,196375,191081,127451,105919,33223
2021-09-24T23:59:59+02:00,19359,134369,214067,196853,196144,190955,127418,105898,33221
2021-09-23T23:59:59+02:00,19141,133702,213534,196424,195819,190740,127313,105845,33187
2021-09-22T23:59:59+02:00,18992,133035,213107,196018,195528,190513,127195,105767,33154
2021-09-21T23:59:59+02:00,18817,132552,212714,195682,195302,190361,127090,105706,33132
2021-09-20T23:59:59+02:00,18697,131954,212328,195352,195092,190218,127006,105643,33116
2021-09-19T23:59:59+02:00,18600,131491,211902,195031,194851,190035,126923,105609,33103
2021-09-18T23:59:59+02:00,18522,131291,211683,194833,194715,189970,126906,105599,33100
2021-09-17T23:59:59+02:00,18357,130935,211343,194510,194489,189821,126861,105581,33088
2021-09-16T23:59:59+02:00,18158,130336,210795,194028,194117,189625,126754,105539,33067
2021-09-15T23:59:59+02:00,18033,129686,210382,193626,193818,189434,126657,105475,33038
2021-09-14T23:59:59+02:00,17942,129187,209923,193247,193543,189233,126549,105411,33017
2021-09-13T23:59:59+02:00,17871,128617,209462,192907,193259,189044,126443,105360,32998
2021-09-12T23:59:59+02:00,17770,128052,208965,192465,192966,188865,126341,105313,32983
2021-09-11T23:59:59+02:00,17690,127797,208704,192251,192801,188794,126311,105296,32982
2021-09-10T23:59:59+02:00,17485,127285,208292,191885,192527,188625,126245,105263,32980
2021-09-09T23:59:59+02:00,17287,126682,207688,191358,192118,188366,126138,105213,32949
2021-09-08T23:59:59+02:00,17175,126213,207220,190937,191772,188117,126035,105140,32912
2021-09-07T23:59:59+02:00,17072,125749,206750,190556,191486,187935,125952,105055,32881
2021-09-06T23:59:59+02:00,16987,125353,206362,190253,191230,187771,125835,105003,32841
2021-09-05T23:59:59+02:00,16876,124919,206001,189923,190983,187625,125765,104972,32828
2021-09-04T23:59:59+02:00,16794,124684,205813,189734,190857,187563,125744,104955,32827
2021-09-03T23:59:59+02:00,16641,124297,205475,189433,190636,187439,125686,104932,32815
2021-09-02T23:59:59+02:00,16427,123774,204964,188998,190269,187214,125580,104874,32788
