date,Eisenstadt (Stadt),Rust (Stadt),Eisenstadt-Umgebung,Güssing,Jennersdorf,Mattersburg,Neusiedl am See,Oberpullendorf,Oberwart,Klagenfurt (Stadt),Villach (Stadt),Hermagor,Klagenfurt Land,Sankt Veit an der Glan,Spittal an der Drau,Villach Land,Völkermarkt,Wolfsberg,Feldkirchen,Krems an der Donau,Sankt Pölten (Stadt),Waidhofen an der Ybbs (Stadt),Wiener Neustadt (Stadt),Amstetten,Baden,Bruck an der Leitha,Gänserndorf,Gmünd,Hollabrunn,Horn,Korneuburg,Krems (Land),Lilienfeld,Melk,Mistelbach,Mödling,Neunkirchen,Sankt Pölten (Land),Scheibbs,Tulln,Waidhofen an der Thaya,Wiener Neustadt (Land),Zwettl,Linz (Stadt),Steyr (Stadt),Wels (Stadt),Braunau am Inn,Eferding,Freistadt,Gmunden,Grieskirchen,Kirchdorf an der Krems,Linz-Land,Perg,Ried im Innkreis,Rohrbach,Schärding,Steyr-Land,Urfahr-Umgebung,Vöcklabruck,Wels-Land,Salzburg (Stadt),Hallein,Salzburg-Umgebung,Sankt Johann im Pongau,Tamsweg,Zell am See,Graz (Stadt),Deutschlandsberg,Graz-Umgebung,Leibnitz,Leoben,Liezen,Murau,Voitsberg,Weiz,Murtal,Bruck-Mürzzuschlag,Hartberg-Fürstenfeld,Südoststeiermark,Innsbruck-Stadt,Imst,Innsbruck-Land,Kitzbühel,Kufstein,Landeck,Lienz,Reutte,Schwaz,Bludenz,Bregenz,Dornbirn,Feldkirch,Wien-Innere Stadt,Wien-Leopoldstadt,Wien-Landstraße,Wien-Wieden,Wien-Margareten,Wien-Mariahilf,Wien-Neubau,Wien-Josefstadt,Wien-Alsergrund,Wien-Favoriten,Wien-Simmering,Wien-Meidling,Wien-Hietzing,Wien-Penzing,Wien-Rudolfsheim-Fünfhaus,Wien-Ottakring,Wien-Hernals,Wien-Währing,Wien-Döbling,Wien-Brigittenau,Wien-Floridsdorf,Wien-Donaustadt,Wien-Liesing
2021/07/11,14895,2000,43861,25770,17109,40316,60397,37453,54209,101765,63236,18052,60503,53880,75628,64920,41834,52488,29783,24837,55878,11134,46456,116592,147113,105507,105824,36275,51332,30838,91777,56559,25474,78281,75655,119240,86323,132064,41567,105762,25531,79033,41827,206537,37952,62654,106492,33368,66922,102102,65137,57163,152391,69241,61850,56623,57438,60936,86235,137993,74574,155416,60992,154624,81392,20118,88168,291134,60871,157853,85294,59151,79592,27449,50947,90916,71356,98054,90619,83841,131059,60922,181698,64676,111080,44346,48814,33054,84456,64368,135310,90502,109057,15867,105237,93248,33075,54373,31336,31683,24365,41812,210573,105022,96998,53903,93366,76137,102480,56488,51327,73861,85264,173916,198806,111812
2021/07/27,14895,2000,43861,25770,17109,40316,60397,37453,54209,101765,63236,18052,60503,53880,75628,64920,41834,52488,29783,24837,55878,11134,46456,116592,147113,105507,105824,36275,51332,30838,91777,56559,25474,78281,75655,119240,86323,132064,41567,105762,25531,79033,41827,206537,37952,62654,106492,33368,66922,102102,65137,57163,152391,69241,61850,56623,57438,60936,86235,137993,74574,155416,60992,154624,81392,20118,88168,291134,60871,157853,85294,59151,79592,27449,50947,90916,71356,98054,90619,83841,131059,60922,181698,64676,111080,44346,48814,33054,84456,64368,135310,90502,109057,15867,105237,93248,33075,54373,31336,31683,24365,41812,210573,105022,96998,53903,93366,76137,102480,56488,51327,73861,85264,173916,198806,111812
2021/07/28,14895,2000,43861,25770,17109,40316,60397,37453,54209,101765,63236,18052,60503,53880,75628,64920,41834,52488,29783,24837,55878,11134,46456,116592,147113,105507,105824,36275,51332,30838,91777,56559,25474,78281,75655,119240,86323,132064,41567,105762,25531,79033,41827,206537,37952,62654,106492,33368,66922,102102,65137,57163,152391,69241,61850,56623,57438,60936,86235,137993,74574,155416,60992,154624,81392,20118,88168,291134,60871,157853,85294,59151,79592,27449,50947,90916,71356,98054,90619,83841,131059,60922,181698,64676,111080,44346,48814,33054,84456,64368,135310,90502,109057,15867,105237,93248,33075,54373,31336,31683,24365,41812,210573,105022,96998,53903,93366,76137,102480,56488,51327,73861,85264,173916,198806,111812
2021/07/29,14895,2000,43861,25770,17109,40316,60397,37453,54209,101765,63236,18052,60503,53880,75628,64920,41834,52488,29783,24837,55878,11134,46456,116592,147113,105507,105824,36275,51332,30838,91777,56559,25474,78281,75655,119240,86323,132064,41567,105762,25531,79033,41827,206537,37952,62654,106492,33368,66922,102102,65137,57163,152391,69241,61850,56623,57438,60936,86235,137993,74574,155416,60992,154624,81392,20118,88168,291134,60871,157853,85294,59151,79592,27449,50947,90916,71356,98054,90619,83841,131059,60922,181698,64676,111080,44346,48814,33054,84456,64368,135310,90502,109057,15867,105237,93248,33075,54373,31336,31683,24365,41812,210573,105022,96998,53903,93366,76137,102480,56488,51327,73861,85264,173916,198806,111812
2021/07/30,14895,2000,43861,25770,17109,40316,60397,37453,54209,101765,63236,18052,60503,53880,75628,64920,41834,52488,29783,24837,55878,11134,46456,116592,147113,105507,105824,36275,51332,30838,91777,56559,25474,78281,75655,119240,86323,132064,41567,105762,25531,79033,41827,206537,37952,62654,106492,33368,66922,102102,65137,57163,152391,69241,61850,56623,57438,60936,86235,137993,74574,155416,60992,154624,81392,20118,88168,291134,60871,157853,85294,59151,79592,27449,50947,90916,71356,98054,90619,83841,131059,60922,181698,64676,111080,44346,48814,33054,84456,64368,135310,90502,109057,15867,105237,93248,33075,54373,31336,31683,24365,41812,210573,105022,96998,53903,93366,76137,102480,56488,51327,73861,85264,173916,198806,111812
2021/07/31,14895,2000,43861,25770,17109,40316,60397,37453,54209,101765,63236,18052,60503,53880,75628,64920,41834,52488,29783,24837,55878,11134,46456,116592,147113,105507,105824,36275,51332,30838,91777,56559,25474,78281,75655,119240,86323,132064,41567,105762,25531,79033,41827,206537,37952,62654,106492,33368,66922,102102,65137,57163,152391,69241,61850,56623,57438,60936,86235,137993,74574,155416,60992,154624,81392,20118,88168,291134,60871,157853,85294,59151,79592,27449,50947,90916,71356,98054,90619,83841,131059,60922,181698,64676,111080,44346,48814,33054,84456,64368,135310,90502,109057,15867,105237,93248,33075,54373,31336,31683,24365,41812,210573,105022,96998,53903,93366,76137,102480,56488,51327,73861,85264,173916,198806,111812
2021/08/01,14895,2000,43861,25770,17109,40316,60397,37453,54209,101765,63236,18052,60503,53880,75628,64920,41834,52488,29783,24837,55878,11134,46456,116592,147113,105507,105824,36275,51332,30838,91777,56559,25474,78281,75655,119240,86323,132064,41567,105762,25531,79033,41827,206537,37952,62654,106492,33368,66922,102102,65137,57163,152391,69241,61850,56623,57438,60936,86235,137993,74574,155416,60992,154624,81392,20118,88168,291134,60871,157853,85294,59151,79592,27449,50947,90916,71356,98054,90619,83841,131059,60922,181698,64676,111080,44346,48814,33054,84456,64368,135310,90502,109057,15867,105237,93248,33075,54373,31336,31683,24365,41812,210573,105022,96998,53903,93366,76137,102480,56488,51327,73861,85264,173916,198806,111812
2021/08/02,14895,2000,43861,25770,17109,40316,60397,37453,54209,101765,63236,18052,60503,53880,75628,64920,41834,52488,29783,24837,55878,11134,46456,116592,147113,105507,105824,36275,51332,30838,91777,56559,25474,78281,75655,119240,86323,132064,41567,105762,25531,79033,41827,206537,37952,62654,106492,33368,66922,102102,65137,57163,152391,69241,61850,56623,57438,60936,86235,137993,74574,155416,60992,154624,81392,20118,88168,291134,60871,157853,85294,59151,79592,27449,50947,90916,71356,98054,90619,83841,131059,60922,181698,64676,111080,44346,48814,33054,84456,64368,135310,90502,109057,15867,105237,93248,33075,54373,31336,31683,24365,41812,210573,105022,96998,53903,93366,76137,102480,56488,51327,73861,85264,173916,198806,111812
2021/08/03,14895,2000,43861,25770,17109,40316,60397,37453,54209,101765,63236,18052,60503,53880,75628,64920,41834,52488,29783,24837,55878,11134,46456,116592,147113,105507,105824,36275,51332,30838,91777,56559,25474,78281,75655,119240,86323,132064,41567,105762,25531,79033,41827,206537,37952,62654,106492,33368,66922,102102,65137,57163,152391,69241,61850,56623,57438,60936,86235,137993,74574,155416,60992,154624,81392,20118,88168,291134,60871,157853,85294,59151,79592,27449,50947,90916,71356,98054,90619,83841,131059,60922,181698,64676,111080,44346,48814,33054,84456,64368,135310,90502,109057,15867,105237,93248,33075,54373,31336,31683,24365,41812,210573,105022,96998,53903,93366,76137,102480,56488,51327,73861,85264,173916,198806,111812
2021/08/04,14895,2000,43861,25770,17109,40316,60397,37453,54209,101765,63236,18052,60503,53880,75628,64920,41834,52488,29783,24837,55878,11134,46456,116592,147113,105507,105824,36275,51332,30838,91777,56559,25474,78281,75655,119240,86323,132064,41567,105762,25531,79033,41827,206537,37952,62654,106492,33368,66922,102102,65137,57163,152391,69241,61850,56623,57438,60936,86235,137993,74574,155416,60992,154624,81392,20118,88168,291134,60871,157853,85294,59151,79592,27449,50947,90916,71356,98054,90619,83841,131059,60922,181698,64676,111080,44346,48814,33054,84456,64368,135310,90502,109057,15867,105237,93248,33075,54373,31336,31683,24365,41812,210573,105022,96998,53903,93366,76137,102480,56488,51327,73861,85264,173916,198806,111812
